Text,label
I recently got hired by a great company. I’ve been dealing with a serious illness.,"2,3"
I enrolled in college to pursue my degree.,1
I started university to study biology. I'm now employed full-time as a developer. I had surgery to fix my heart condition.,"1,2,3"
I began my undergraduate studies recently. I recently got hired by a great company. I visited the hospital for treatment.,"1,2,3"
I started university to study biology. I just started working in tech. I had surgery to fix my heart condition.,"1,2,3"
I'm now employed full-time as a developer. I visited the hospital for treatment.,"2,3"
I’ve begun my new role at a startup.,2
I'm now attending a university full-time. I'm now employed full-time as a developer. I’ve been dealing with a serious illness.,"1,2,3"
I signed up for classes at the local college. I'm now employed full-time as a developer. My health took a turn and I needed care.,"1,2,3"
I had surgery to fix my heart condition.,3
My health took a turn and I needed care.,3
I enrolled in college to pursue my degree. My health took a turn and I needed care.,"1,3"
I visited the hospital for treatment.,3
I'm now attending a university full-time. I’ve begun my new role at a startup. I had surgery to fix my heart condition.,"1,2,3"
I’ve been dealing with a serious illness.,3
I just started working in tech. I’ve been dealing with a serious illness.,"2,3"
I enrolled in college to pursue my degree.,1
My health took a turn and I needed care.,3
I'm now attending a university full-time.,1
I landed a job at a software company. My health took a turn and I needed care.,"2,3"
I'm now employed full-time as a developer.,2
I began my undergraduate studies recently. I recently got hired by a great company.,"1,2"
I started university to study biology. I’ve been dealing with a serious illness.,"1,3"
I'm now employed full-time as a developer. I'm recovering from a medical procedure.,"2,3"
I’ve begun my new role at a startup. I had surgery to fix my heart condition.,"2,3"
I'm now attending a university full-time. I visited the hospital for treatment.,"1,3"
I'm now attending a university full-time. I just started working in tech.,"1,2"
I'm now employed full-time as a developer. I visited the hospital for treatment.,"2,3"
I began my undergraduate studies recently.,1
I began my undergraduate studies recently.,1
I enrolled in college to pursue my degree. I’ve begun my new role at a startup. I’ve been dealing with a serious illness.,"1,2,3"
I began my undergraduate studies recently. I just started working in tech.,"1,2"
I just started working in tech. My health took a turn and I needed care.,"2,3"
I'm now attending a university full-time. I landed a job at a software company. I had surgery to fix my heart condition.,"1,2,3"
I began my undergraduate studies recently. I’ve begun my new role at a startup. My health took a turn and I needed care.,"1,2,3"
I enrolled in college to pursue my degree. I landed a job at a software company. I visited the hospital for treatment.,"1,2,3"
My health took a turn and I needed care.,3
I signed up for classes at the local college. I just started working in tech. I'm recovering from a medical procedure.,"1,2,3"
I’ve begun my new role at a startup.,2
I signed up for classes at the local college. I recently got hired by a great company. My health took a turn and I needed care.,"1,2,3"
I just started working in tech.,2
I began my undergraduate studies recently. I just started working in tech.,"1,2"
I enrolled in college to pursue my degree. I’ve been dealing with a serious illness.,"1,3"
I signed up for classes at the local college. I landed a job at a software company. My health took a turn and I needed care.,"1,2,3"
I'm now employed full-time as a developer.,2
I signed up for classes at the local college. I'm recovering from a medical procedure.,"1,3"
I’ve been dealing with a serious illness.,3
I’ve begun my new role at a startup.,2
I'm now attending a university full-time. I just started working in tech.,"1,2"
I signed up for classes at the local college. I landed a job at a software company. My health took a turn and I needed care.,"1,2,3"
I visited the hospital for treatment.,3
I visited the hospital for treatment.,3
I'm now employed full-time as a developer.,2
I recently got hired by a great company. I'm recovering from a medical procedure.,"2,3"
I started university to study biology. I recently got hired by a great company. My health took a turn and I needed care.,"1,2,3"
I visited the hospital for treatment.,3
I signed up for classes at the local college. I'm recovering from a medical procedure.,"1,3"
I began my undergraduate studies recently. I landed a job at a software company.,"1,2"
I visited the hospital for treatment.,3
I'm now attending a university full-time. I'm recovering from a medical procedure.,"1,3"
I recently got hired by a great company.,2
I began my undergraduate studies recently. I just started working in tech. My health took a turn and I needed care.,"1,2,3"
I'm now attending a university full-time.,1
I'm now attending a university full-time. I’ve begun my new role at a startup.,"1,2"
I landed a job at a software company.,2
I signed up for classes at the local college.,1
I started university to study biology. I just started working in tech.,"1,2"
I enrolled in college to pursue my degree. I’ve been dealing with a serious illness.,"1,3"
I’ve been dealing with a serious illness.,3
I signed up for classes at the local college. I’ve been dealing with a serious illness.,"1,3"
